title,location,city,price_total_inr,price_per_sqft,area_sqft,bedrooms,bathrooms,link
,Vipul Belmonte,Gurgaon,65000000.0,26531.0,2400.0,,,
,Ravi Darshan Apartment,Surat,5950000.0,5085.0,1170.0,,,
,Reshma Takshashila Heights,Surat,2800000.0,2654.0,1055.0,,,
,Rajhans Platinum Residency,Surat,4800000.0,3028.0,1585.0,,,
,Millinium Resideny,Surat,3600000.0,,1050.0,,,
,Ravi Dham Sankul,Surat,9900000.0,3600.0,2200.0,,,
,Mangalam Heights,Surat,7000000.0,5263.0,1330.0,,,
,Fusion Homes,Noida,10400000.0,9004.0,1155.0,,,
,Ambience Tiverton,Noida,39000000.0,15312.0,2547.0,,,
,ACE Parkway,Noida,15900000.0,14600.0,695.0,,,
,Emenox Infratek La Solara,Noida,8670000.0,8500.0,590.0,,,
,Antriksh Golf View 2,Noida,13500000.0,10037.0,1345.0,,,
,Greatvalue Sharanam,Noida,14000000.0,12291.0,900.0,,,
,ATS Picturesque Reprieves,Noida,24000000.0,12973.0,1850.0,,,
,Divyansh Flora,Noida,11000000.0,8209.0,1240.0,,,
,Eldeco Live By The Greens,Noida,15500000.0,11040.0,1100.0,,,
,Jaypee Green Kosmos Phase 2,Noida,11000000.0,8462.0,950.0,,,
,La Residentia,Noida,7200000.0,8182.0,880.0,,,
,Amrapali Heart Beat City,Noida,14900000.0,11037.0,1000.0,,,
,Shree Siddheshwar Heaven,Vadodara,4000000.0,,1139.0,,,
,SkySeven Synnove Palladium,Vadodara,8700000.0,4971.0,1750.0,,,
,Park Plaza,Vadodara,3500000.0,4118.0,790.0,,,
,Khushboo Hiya Homes,Vadodara,9600000.0,6000.0,1200.0,,,
,Darshanam Central Park,Vadodara,4500000.0,3333.0,1000.0,,,
,Narayan Greenscapes,Vadodara,6200000.0,3713.0,1360.0,,,
,Pawan Vicenza Highdeck,Vadodara,10000000.0,6061.0,1447.0,,,
,Fortune Greenfields 3,Vadodara,4500000.0,4365.0,960.0,,,
,AUM Param,Vadodara,3000000.0,2182.0,1375.0,,,
,Kishan Galaxy,Vadodara,2800000.0,2800.0,1000.0,,,
,SB Eshanya Florenza,Vadodara,3400000.0,3238.0,1050.0,,,
,Bhavyaa Green Luxuria,Jaipur,6800000.0,6415.0,870.0,,,
,The Aristo,Jaipur,14500000.0,8042.0,1803.0,,,
