title,location,price,area_sqft,wealth_buying,wealth_renting,decision
,Millinium Resideny,3600000.0,1050.0,1643103.2,7996633.17,RENTING is financially better
,Samarth Enclave,7600000.0,1860.0,3468773.43,6950611.66,RENTING is financially better
,Mangalam Heights,7000000.0,1330.0,3194922.89,10349301.02,RENTING is financially better
,Reshma Takshashila Heights,2800000.0,1055.0,1277969.16,6880554.04,RENTING is financially better
,Hari Bhakti Extension,8500000.0,1200.0,3879549.23,13399208.78,RENTING is financially better
,V R Imperia,3700000.0,900.0,1688744.96,9321557.52,RENTING is financially better
,Earth Allyssum,5200000.0,1050.0,2373371.29,10149433.16,RENTING is financially better
,Orchid Platina,3600000.0,700.0,1643103.2,10774173.32,RENTING is financially better
,Kishan Galaxy,2800000.0,620.0,1277969.16,10332639.65,RENTING is financially better
,Shree Siddheshwar Heaven,4000000.0,1139.0,1825670.22,7828544.39,RENTING is financially better
,Shreenath Plaza,4000000.0,850.0,1825670.22,10121998.97,RENTING is financially better
,Pawan Vicenza Highdeck,10000000.0,1447.0,4564175.56,13457309.0,RENTING is financially better
,Earth Acropolis II,2700000.0,650.0,1232327.4,9960014.78,RENTING is financially better
,Amardeep Residency,3000000.0,935.0,1369252.67,8101953.51,RENTING is financially better
,Hari Om Elegance,5200000.0,760.0,2373371.29,12450823.56,RENTING is financially better
,Aarya Twin Tower,7000000.0,1450.0,3194922.89,9397001.55,RENTING is financially better
,Makhija Royal Lifes,6500000.0,2010.0,2966714.11,4280187.32,RENTING is financially better
,Satyamitra Rajlaxmi Nature,2500000.0,675.0,1141043.89,9492519.05,RENTING is financially better
,Om Gurudev Complex,9500000.0,1611.0,4335966.78,11483083.05,RENTING is financially better
,Atlanta Aura,11800000.0,1490.0,5385727.16,15537968.34,RENTING is financially better
,Mirchandani Shalimar Swayam,4500000.0,720.0,2053879.0,11826406.73,RENTING is financially better
,Shankeshwar City,3350000.0,840.0,1528998.81,9326782.26,RENTING is financially better
,London Villas,11000000.0,1750.0,5020593.12,12398252.81,RENTING is financially better
,Treasure Fantasy,8800000.0,1000.0,4016474.49,15390024.57,RENTING is financially better
,IBD Belmont Park,7600000.0,1705.0,3468773.43,8180665.15,RENTING is financially better
,Rudraksh Kasturi,6500000.0,1250.0,2966714.11,10311417.35,RENTING is financially better
,Asnani Spring Valley Dew,2700000.0,1205.0,1232327.4,5555629.69,RENTING is financially better
,Nirupam Royal Palms,3300000.0,1230.0,1506177.93,6164533.96,RENTING is financially better
,Lila Atulyam,3600000.0,850.0,1643103.2,9583798.97,RENTING is financially better
,Tulip Greens,6400000.0,1750.0,2921072.36,6208952.86,RENTING is financially better
,Janki Apartment,4500000.0,1100.0,2053879.0,8810791.72,RENTING is financially better
,Atal Club View,8000000.0,1840.0,3651340.45,7647528.23,RENTING is financially better
,Nilansh Celeste,8700000.0,820.0,3970832.74,16683923.79,RENTING is financially better
,Swapnil City,4200000.0,1100.0,1916953.74,8407141.72,RENTING is financially better
,Nirmala Tower,4600000.0,1090.0,2099520.76,9024700.0,RENTING is financially better
,Omaxe Waterscape,10000000.0,1635.0,4564175.56,11965373.15,RENTING is financially better
,VJ DH2 Paradise,4200000.0,1000.0,1916953.74,9200724.62,RENTING is financially better
,Aakansha Life and Joy,7200000.0,880.0,3286206.4,14189524.06,RENTING is financially better
,Parsvnath Royale Floors,7400000.0,1260.0,3377489.91,11443009.05,RENTING is financially better
,Omaxe Residency 2,10000000.0,1775.0,4564175.56,10854357.1,RENTING is financially better
,River View Enclave,7500000.0,1200.0,3423131.67,12053708.79,RENTING is financially better
,Ratan Orbit,8900000.0,1000.0,4062116.25,15524574.57,RENTING is financially better
,Kakadev,12500000.0,900.0,5705219.45,21161957.43,RENTING is financially better
,KDA Residency,5500000.0,968.751,2510296.56,11197861.32,RENTING is financially better
,Diviniti Homes,11500000.0,1740.0,5248801.89,13150361.09,RENTING is financially better
,Balaji Enclave,7000000.0,970.0,3194922.89,13206199.46,RENTING is financially better
,Patliputra Gardens,13000000.0,1530.0,5933428.23,16835135.17,RENTING is financially better
,J G Manju Residency,6140000.0,1025.0,2802403.79,11612598.87,RENTING is financially better
,Shiv Radhika Complex,17000000.0,1720.0,7759098.45,20709327.62,RENTING is financially better
,Siddha Serena,6400000.0,586.0,2921072.36,15446257.79,RENTING is financially better
,Hiland Park,11000000.0,1328.0,5020593.12,15747172.64,RENTING is financially better
,Upohar The Condoville,9500000.0,918.0,4335966.78,16982612.54,RENTING is financially better
,PS Ozone Phase II,17000000.0,1750.0,7759098.45,20471252.75,RENTING is financially better
,South City,35000000.0,1954.0,15974614.46,43071343.45,RENTING is financially better
,Sherwood Estate,5000000.0,800.0,2282087.78,11864290.41,RENTING is financially better
,Bengal Peerless Avidipta,18500000.0,1300.0,8443724.79,26060625.78,RENTING is financially better
,Sureka Merlin Elita Garden Vista Phase 2,15000000.0,1564.0,6846263.34,19256316.96,RENTING is financially better
,Mayukh Apartment,6500000.0,1200.0,2966714.11,10708208.8,RENTING is financially better
,Urban Sereno,8900000.0,893.0,4062116.25,16373708.27,RENTING is financially better
,Jagannath Warrior Residency,7800000.0,1200.0,3560056.94,12457358.78,RENTING is financially better
,Ethics Arcon,8300000.0,930.0,3788265.72,15272782.6,RENTING is financially better
,Grand Awaas,13100000.0,1538.0,5979069.98,16906198.53,RENTING is financially better
,MM Balianta Enclave,6500000.0,1184.0,2966714.11,10835182.06,RENTING is financially better
,Rise Sayesha Enclave,6840000.000000001,1000.0,3121896.08,12752844.59,RENTING is financially better
,Satyabadi Residency,14900000.0,999.0,6800621.59,23605510.34,RENTING is financially better
,Jay Jagannathswami Pramod Signature,11500000.0,1094.0,5248801.89,18276906.62,RENTING is financially better
,AcreRise AZURE,9160000.0,915.0,4180784.81,16548950.03,RENTING is financially better
,Orissa Twin City Royal Homes,6000000.0,1020.0,2738505.34,11463908.02,RENTING is financially better
,Metro Plaza Phase 1 2 &3,4500000.0,803.0,2053879.0,11167732.92,RENTING is financially better
,Metro Manorma Complex,11000000.0,1390.0,5020593.12,15255151.24,RENTING is financially better
,Metro Heritage,8200000.0,1150.0,3742623.96,13392350.23,RENTING is financially better
,Dwaraka Dham Apartments,7300000.0,1538.0,3331848.16,9102298.59,RENTING is financially better
,Triveni Nilu Enclave,4860000.0,950.0,2218189.32,10485546.06,RENTING is financially better
,Vikramshila Vatika,6000000.0,1300.0,2738505.34,9241875.9,RENTING is financially better
,Balaji enclave,4500000.0,1100.0,2053879.0,8810791.72,RENTING is financially better
,Hariom Tower Apartment,7000000.0,1344.0,3194922.89,10238199.42,RENTING is financially better
,Vimal Shyam Vihar,7500000.0,1530.0,3423131.67,9434885.22,RENTING is financially better
,RK Apartment,8400000.0,1057.0,3833907.47,14399482.32,RENTING is financially better
,Maya Heritage,12500000.0,1623.0,5705219.45,15424353.08,RENTING is financially better
,Dalma Enclave,2350000.0,675.0,1072581.26,9290694.06,RENTING is financially better
,Swarna Palace,6000000.0,1390.0,2738505.34,8527651.29,RENTING is financially better
,Shanti Valley,4500000.0,1150.0,2053879.0,8414000.27,RENTING is financially better
,Maya Heritage,16500000.0,1000.0,7530889.67,25750374.49,RENTING is financially better
,Aastha Twin City,7100000.0,1497.0,3240564.65,9158567.58,RENTING is financially better
,Srinath Rock Garden,3800000.0,831.0,1734386.71,10003679.72,RENTING is financially better
,RS Empressia Elite,3310000.0,1015.0,1510742.11,7884192.19,RENTING is financially better
,RCP VIP City,6000000.0,1805.0,2738505.34,5234282.27,RENTING is financially better
,Ram Niketan,3500000.0,1045.0,1597461.45,7901762.32,RENTING is financially better
,Raheja Nirwana,16900000.0,3800.0,7713456.7,4068253.33,BUYING is financially better
,Sai vihar,2700000.0,850.0,1232327.4,8372848.98,RENTING is financially better
,Vrindawan Gardens,1950000.0,895.0,890014.23,7006611.68,RENTING is financially better
,Rawatpura Colony,2850000.0,731.0,1300790.03,9519037.63,RENTING is financially better
,Karamchand Dream Aawas,3800000.0,1045.0,1734386.71,8305412.32,RENTING is financially better
,Green City 4,3300000.0,650.0,1506177.93,10767314.77,RENTING is financially better
,Sai Krishna Residency,5200000.0,600.0,2373371.29,13720556.2,RENTING is financially better
,Millenium Orange City Park,5000000.0,1340.0,2282087.78,7578942.75,RENTING is financially better
,Pyramid City IV,4300000.0,990.0,1962595.49,9414632.91,RENTING is financially better
,Aakar Millenium,10600000.0,810.0,4838026.09,19319732.06,RENTING is financially better
,Amit EKA,5550000.0,990.0,2533117.44,11096507.89,RENTING is financially better
,Ekta Greenville Villa,6900000.0,1485.0,3149281.14,8984697.53,RENTING is financially better
,Amit EKA,4400000.0,881.0,2008237.25,10414188.26,RENTING is financially better
,Ekta Greenville,3800000.0,900.0,1734386.71,9456107.52,RENTING is financially better
,ABH Treeland,8000000.0,733.0,3651340.45,16432490.92,RENTING is financially better
,Samraat Apna Ghar,4500000.0,816.0,2053879.0,11064567.15,RENTING is financially better
,Hari Anand,3500000.0,650.0,1597461.45,11036414.77,RENTING is financially better
,Township Sainik Vihar,3300000.0,713.0,1506177.93,10267357.54,RENTING is financially better
,Kurinji Apartments,4500000.0,1050.0,2053879.0,9207583.16,RENTING is financially better
,Martins Residency,9000000.0,1430.0,4107758.0,12246718.11,RENTING is financially better
,Gandhimanagar,7000000.0,1200.0,3194922.89,11380958.79,RENTING is financially better
,Sree Dakshas Lucien,7700000.0,1050.0,3514415.18,13513183.13,RENTING is financially better
,VSK Ashwattha Apartment,9500000.0,901.0,4335966.78,17117521.63,RENTING is financially better
,Ventura Wave,15400000.0,1880.0,7028830.36,17286795.0,RENTING is financially better
,GT Infra Shreevatsavam,8030000.0,1745.0,3665032.98,8441796.98,RENTING is financially better
,Manjeera Casa,16000000.0,1900.0,7302680.9,17935378.41,RENTING is financially better
,Cloudswood Radhey Skye,13000000.0,2310.0,5933428.23,10645188.56,RENTING is financially better
,Candeur Crescent,17000000.0,1600.0,7759098.45,21661627.1,RENTING is financially better
,DLF New Town Heights,11000000.0,1730.0,5020593.12,12556969.39,RENTING is financially better
,Olive Courtyard,9000000.0,1110.0,4107758.0,14786183.38,RENTING is financially better
,Skyline Gateway,11000000.0,1250.0,5020593.12,16366167.3,RENTING is financially better
,Indus Avenue,5800000.0,1320.0,2647221.83,8814059.33,RENTING is financially better
,The Eyrie,9450000.0,1614.0,4313145.9,11392000.57,RENTING is financially better
,Confident Orion,4950000.0,1100.0,2259266.9,9416266.71,RENTING is financially better
,federal residency,5270000.0,1255.0,2405320.52,8616773.22,RENTING is financially better
,Kallupalam Hill Residency,8200000.0,1450.0,3742623.96,11011601.53,RENTING is financially better
,DD Majestic Mount,5250000.0,1054.0,2396192.17,10184964.84,RENTING is financially better
